"","nearestBuilding","distToNearestBuilding"
"1",NA,0
"2","Gilbert Hall",0
"3","Gilbert Hall",0
"4","Alexander Campbell King Law Library",0
"5","Alexander Campbell King Law Library",0
"6","Hirsch Hall",0
"7","Alexander Campbell King Law Library",0
"8",NA,0
"9","Sanford Hall",0
"10",NA,0
"11","Park Hall",0
"12","Park Hall",0
"13","Park Hall",0
"14","Park Hall",0
"15","Joseph E. Brown Hall",0
"16",NA,0
"17",NA,0
"18",NA,0
"19","Phi Kappa Hall",0
"20","Joseph E. Brown Hall",0
"21","Joseph E. Brown Hall",0
"22","Joseph E. Brown Hall",0
"23","Joseph E. Brown Hall",0
"24","Joseph E. Brown Hall",0
"25","Joseph E. Brown Hall",0
"26","Park Hall",0
"27","Park Hall",0
"28","Park Hall",0
"29","Park Hall",0
"30","Park Hall",0
"31","Park Hall",0
"32","Joseph E. Brown Hall",0
"33","Joseph E. Brown Hall",0
"34","Joseph E. Brown Hall",0
"35","Joseph E. Brown Hall",0
"36","Joseph E. Brown Hall",0
"37","Park Hall",0
"38","Park Hall",0
"39","Park Hall",0
"40","Park Hall",0
"41","Park Hall",0
"42","Park Hall",0
"43","Park Hall",0
"44","Park Hall",0
"45","Park Hall",0
"46","Park Hall",0
"47","Park Hall",0
"48","Park Hall",0
"49","Sanford Hall",0
"50","Joseph E. Brown Hall",0
"51","Sanford Hall",0
"52","Sanford Hall",0
"53","Sanford Hall",0
"54","Sanford Hall",0
"55","Sanford Hall",0
"56","Sanford Hall",0
"57","Sanford Hall",0
"58","Garden Club of Georgia",0
"59","Garden Club of Georgia",0
"60","Garden Club Annex",0
"61","Garden Club of Georgia",0
"62","Garden Club of Georgia",0
"63","Garden Club Annex",0
"64","Garden Club of Georgia",0
"65","Garden Club Annex",0
"66","Garden Club Annex",0
"67","Garden Club of Georgia",0
"68","Garden Club of Georgia",0
"69","Garden Club of Georgia",0
"70","Garden Club of Georgia",0
"71","Garden Club of Georgia",0
"72","Denmark Hall",0
"73","Denmark Hall",0
"74","Denmark Hall",0
"75","Gilbert Hall",0
"76","Gilbert Hall",0
"77","Denmark Hall",0
"78","Denmark Hall",0
"79","Denmark Hall",0
"80","Denmark Hall",0
"81","Denmark Hall",0
"82","Denmark Hall",0
"83","Caldwell Hall",0
"84","Denmark Hall",0
"85","Caldwell Hall",0
"86","Caldwell Hall",0
"87","Caldwell Hall",0
"88","Denmark Hall",0
"89","Denmark Hall",0
"90","Denmark Hall",0
"91","Caldwell Hall",0
"92","Denmark Hall",0
"93","Caldwell Hall",0
"94","Caldwell Hall",0
"95","Caldwell Hall",0
"96","Caldwell Hall",0
"97","Caldwell Hall",0
"98","Caldwell Hall",0
"99","Caldwell Hall",0
"100","Caldwell Hall",0
"101","Caldwell Hall",0
"102","Caldwell Hall",0
"103","Gilbert Hall",0
"104","Gilbert Hall",0
"105","Gilbert Hall",0
"106","Gilbert Hall",0
"107","Gilbert Hall",0
"108","Gilbert Hall",0
"109","Gilbert Hall",0
"110","Gilbert Hall",0
"111","Gilbert Hall",0
"112","Gilbert Hall",0
"113","Gilbert Hall",0
"114","Gilbert Hall",0
"115","Gilbert Hall",0
"116","Gilbert Hall",0
"117","Gilbert Hall",0
"118","Gilbert Hall",0
"119","Gilbert Hall",0
"120","Candler Hall",0
"121","Candler Hall",0
"122","Candler Hall",0
"123","Candler Hall",0
"124","Candler Hall",0
"125","Gilbert Hall",0
"126","Gilbert Hall",0
"127","Gilbert Hall",0
"128","Gilbert Hall",0
"129","Gilbert Hall",0
"130","Gilbert Hall",0
"131","Gilbert Hall",0
"132","Gilbert Hall",0
"133","Gilbert Hall",0
"134","Gilbert Hall",0
"135","Gilbert Hall",0
"136","Gilbert Hall",0
"137","Gilbert Hall",0
"138","Gilbert Hall",0
"139","Gilbert Hall",0
"140","Gilbert Hall",0
"141","Candler Hall",0
"142","Candler Hall",0
"143","Candler Hall",0
"144","Candler Hall",0
"145","Candler Hall",0
"146","Candler Hall",0
"147","Candler Hall",0
